Song Number,Song Name,Singer,Lyrics,Lyrics Status,Writer,Composer,Category,Image Name,Year,Recording Status,SoundCloud Link
1071,تقاوى رخه,أشرف محفوظ,"شبوب دمعتي منه تقاوى رخه، خطا مع من جدي الغزال تنخه
 وربط اقسامك، ولوعة خطاك وولعتي بغرامك
 وباتن خوالي موحشات أوهامك، هو ياسك الي بسموم جرحك بخه
 العين دمعها خلت انداها ضامك، مداوم نزيله من الهدوب مزرها
 وريافي محايدي جلال أيامك، والموح صورتك في خاطري رسخها
 الي بريشته تصعب على رسّامك، وبالكاميرا والله ما يمسخها
 بألوانها يشوه بشرتك واميامك، وفيها الحياة تغيب ويبيخها
 
 وأنظاره زانت، ومع سيولها كل الحلوق تغانت
 ياس مللها فينت ماني كانت، دراها وماصحيت العين لفخها
 من كيف طاحت والخديعة بانت، خانها ولذة حلمها فوخها
 وين بغلاه وبالهروج اطمانت، قهرها بياسه والعهود فسخها
 
 تقاوى رخه، خطا مع من جدي الغزال تنخه، شبوب دمعتي منه",مكتوبة كاملة,عمران القزون,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/ZFQ3XNi9PDFwG6py5
1072,تلعب و اللعب معاي,أشرف محفوظ,"تلعب و اللعب معاي، مش ساهل يا مشكاي
 
 تلعب تلعب بعصابي، عابي تسهرني عابي
 نا داير دوبك دابي، وانت لاقي بعدابي
 متعه مدايرها غاية، 
 تلعب تلعب ياقاسي، تلعب تلعب بحساسي
 مجافيني ولا ناسي، ولا انت هنت غلاي
 
 تلعب و اللعب صعيب، لو فيا ادير العيب
 نترك مدعاك نسيب، سيرة حبك ما نجيب
 ونهده ساس غلاي
 
 تلعب واللعب يسرك، غير اصحى راهو يضرك
 اش اللي هان يجرك، قبلك وجدين ضحايا
 
 تلعب تلعب وتبصر، نا نبني وانت تكسر
 غير اصحى انت اللي تخسر، اللي تخسر في النهاية",مكتوبة كاملة,محمد البراني,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/hstxWGVeb6YTuLMZ7
1073,تمنيت نا بقيتلك غال,أشرف محفوظ,"تمنيت نا بقيتلك غالي، ما تحساب تخلفه والي",مطلع الأغنية/رأس البيت فقط,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/xbEWJ6yEeeTjzJAY7
1074,تهايوالي,أشرف محفوظ,"تهايوالي اعزاز ابعاد اريافي زاد، وغنيت ونا جيت بشوق وحنيت بفرحك ميعاد",مطلع الأغنية/رأس البيت فقط,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/XkTBYambacMzL52k7
1075,ثلاث وصايف,أشرف محفوظ,,الكلمات غير موجودة,إبراهيم أشرف,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/cjpsBmyFvogUuXRS8
1076,جانا العيد وعيدنا,أشرف محفوظ,"جانا العيد وعيدنا، نحنا والوطن وقايدنا",مطلع الأغنية/رأس البيت فقط,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/Hyj1r2LkjDRDQYiN6
1077,جايز نحمل بعدك الأيام,أشرف محفوظ,,الكلمات غير موجودة,إبراهيم أشرف,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/E1g4XrAoXCAi7A8C9
1078,جديد صوبها,أشرف محفوظ,"جديد صوبها، ماهو خفاء لا همس، غلا من سطع عالكون كيف الشمس
 لفالي جاني، غلا بنت وطني ما هو غلا براني
 اللي جدودها حاضرين يوم الهاني، علي خيل سُبّقْ ما يطيقن لمس
 لفى بالجية، غلا بنت شال العقل عدى بيا
 اللي ناسها حاضرين القرضابية، حضروا المرقب في تراب الخمس
 لفالي درقة، غلا بنت ناره في الجواجي ترقى
 اللي ناسها حاضرين معارك شرقى، طمسوا الغازي في المعارك طمس
 لفى بدليله، اللي ناسها حاضرين يوم عقيلة
 و خاضوا معارك صعبة و طويلة، فداء وطنهم ضحوا بمال و نفس",مكتوبة كاملة,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/rQjBMbT1ZnU7p9XT8
1079,جروح الحياة,أشرف محفوظ,,الكلمات غير موجودة,أمين الصكلول,أشرف محفوظ,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/qqn3Jn2jH1DZqPmP6
1080,جظيت من النار,أشرف محفوظ,"جظيت من النار في الدم القيت معاي سم الفاعي
 وثلث من العمر عشت في هم وثلث عشت مانيش واعي
 وثلث عشته في ندم وماحر من النار فوجاعي
 والايد الي اتلبسها ختم تسكيك كاس حنضل بالجذاعي
 وتحطلك في العسل سم",مكتوبة كاملة,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/ENcQjoSmFrNkpTzQ9
1081,حلو السيرة غلاك يا حبيب العمر,أشرف محفوظ,,الكلمات غير موجودة,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/Kp4oQfeCkgq69afc8
1082,خصيمي قاضي,أشرف محفوظ,"اليوم جاء دونك خصيمي قاضي، لمن نشتكي ومن يسمع اعتراضي
 خصيمي قوة
 لا قدرته بالحيل لا بمروة، لا سكات ينفع لا تجيب الدوة
 ولا رضيت تبقي فعل عندي ماضي
 انت حاضر في صميمي جوه، وانت الفاعل وبعدابك راضي
 خصيمي جبرني
 ندير كيف بالله تراه خبرني، كاني كميت تلوم ما تعذرني
 وكاني حكيت الصدق نرجع فاضي، رايك صعيب وهو ما قدرني
 منك عليل اليوم زدت مراضي",مكتوبة كاملة,محمد الفيتوري الورفلي,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/QUog6ntzUdfntuiw7
1083,خطر ع الخاطر داير طيف,أشرف محفوظ,,الكلمات غير موجودة,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/RrGLqNESFFXSVW9u8
1084,دليلي عدى,أشرف محفوظ,,الكلمات غير موجودة,محمد الفيتوري الورفلي,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/DhADAw8HuFPJvhaE7
1085,ذات الجدايل,أشرف محفوظ,,الكلمات غير موجودة,,ناصف محمود,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/8NRT8gmrPuLgxqFK9
1086,راعي الله,أشرف محفوظ,"راعي الله انكانك نقي لفراق ماله داعي
 هالي قدرت عالنوم الهني ونا واخذ اليل واعي
 راعي الله الله الله لفراق ماله داعي
 مازلت في صوبك وفي ومازلت في شانك الراعي
 ماهو ضعف مني ولاني ردي الاطيبتي ونقول باعني
 لوكنهو عدو الي جايني لانرتعد سلم اذراعي
 مايهزني صوت الدوي ولا ننقدع مصعب اصراعي
 وكانهو العدو الي حازني انواجه ومن فزع افزاعي",مكتوبة كاملة,محمد البراني,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/YF5nbhHvw9M6Ffs16
1088,روقي,أشرف محفوظ,"تمنيت حلمى مانتهى، تمنيت ننسى سيتك
 للى علي هنت، اولا أنسيت الغلاء
 ماعاد روقى بيك، تانى انوالفه
 حتى ان خذانى شوق، شوقى انخالفه
 تمنيت فى قلبى ايعود مكانك، ونوالفك كيف قبل
 نطمان فى قربك يعود زمانك، يرتاح شور العقل
 عديت ماشاورتنى، للى خذيت بخاطرى
 وارضيت حيره ولوعتى، سكبت دمعى ماطرى
 تمنيت حلمى ماانتهى، تمنيت ننسى سيتك
 كان بالتمنى ماتمنيت الخطا، لا اللى حكولك عنى قاللوك جفا
 ما عاد روقى بيك ؛ تانى انوالفه، حتى ان خذانى شوق ؛ شوقى انخالفه
 تمنيت حلمى مانتهى ؛ تمنيت ننسى سيتك",مكتوبة كاملة,عمران عويدات,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/hA1LJjc2SnmsyDDXA
1089,زهيت العين,أشرف محفوظ,"زهيت العين بوعودها، بلغ الله مقصودها
 لاعاد ماقيها درف، ولاسهور طول الليل
 ولاعاد عنه ترف، واخذها زول زويلها
 صوبها صوب الغوالي، ودها ود العوالي
 اللي وين فزعولها، تحايت وخضار عودها
 اليوم ما عنه تغيب، غالي حبيّب ودها
 لايهون عليها حبيب، عشرة عمر تعدها
 صوبها صوب الغوالي، ودها ود العوالي
 الي وين فزعولها، تحايت وخضار عودها",مكتوبة كاملة,إبراهيم النجمي,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/yV7XKPTNP5mtpYk98
1090,شدوا الصراع,أشرف محفوظ,"وشدولهن قرن لخدود إشتاقن، حتى بعد طال الزمان تلاقن 
 وشدوا الصراع 
 
 خلوا لعقاد يطيبن، وخلهن عوايدهن زمان إيجيبن 
 إحنا خيلنا إن صار الشلش ما يغيبن، قبل ما يتوق البخش هن تاقن 
 عليهن صقوره داميات يصيبن، بيضه عمايمهم وهن يزراقن 
 ليا دايرهن ودايرن يا دايرن، يوم الفزع ما يخيبن 
 حتى نفسهن قشط يا بال رادن 
 
 شدوا الصرع شدولهن، قرن لخدود إشتاقن
 حتى بعد طال الزمان تلاقن
 وشدوا الصراع 
 
 شكيك الركب فى آذانى، يقول مرحبا 
 
 شكيك الركب فى آذانى، يقول مرحبا بخويا هالغايب جانى 
 فرحن عيونى لين عز لسانى، فراجت عليّ بعد قلت إظياقن 
 لين يبدعك من سال من ينهانى، تسمع خبرهن عوّقن ما إنعاقن 
 وشدّولهن شدّولهن، وشدّوا الصرع شدّولهن 
 قرن لخدود إشتاقن، حتى بعد طال الزمان تلاقن 
 وشدّوا الصرع شدولهن",مكتوبة كاملة,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/gaWG6FECszjatvXm9
1091,شط الحبايب,أشرف محفوظ,,الكلمات غير موجودة,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/EKwMe8TPdoVhByeW8
1092,شقراء,أشرف محفوظ,"شقراء شعرها شواظ شمس، يلهب فى الحظيظ الشمسي
 كيف ما البحر راحه للنفس، عيونها فـ الهموم اتنسي
 شقراء شعرها شواظ شمس، خطوة مشيها دوبينا لمس عـ الوطى
 ما اتريد اتقسي، خطير صوتها تحديثها سلس
 وهي بسمعها لحديثي وهمسي، ممشوق نبتها خايله فـ اللبس
 بدر التمام وين ما الليل ايمسي، قليل ديها ما فيه لبس
 شقراء شعرها شواظ شمس، يلهب فى الحظيظ الشمسي
 كيف ما البحر راحه للنفس، عيونها فـ الهموم اتنسي
 شقراء شعرها شواظ شمس، اللي بفكرها تفهم النفس
 واحساسها من حسي، شقراء شعرها شواظ شمس
 يلهب فى الحظيظ الشمسي، كيف ما البحر راحه للنفس
 عيونها فـ الهموم اتنسي",مكتوبة كاملة,محمد البراني,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/x2fmhfM1EUjeuSjK7
1093,شوقي جاب,أشرف محفوظ,"شوقي عبر شوقك و جاب اشواق 
 لا هي خواطر غابرة و لا هو كلام اوارق
 افهمي ظروفي، والزمان وخوفي، الفراق ما ينطاق",مكتوبة كاملة,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/QRUsiqBPx5ry4BJZ7
1094,صوبي كميته,أشرف محفوظ,"صوبي كميته في قلبي شهيته، لا قدرت نمشي معاه لا وليته
 
 صوبي مخالف لعقلي موالف، لاقدرت نشكي لا لغيره نالف
 عشق الجميل درته خليل، ما قدرت نعشق و لا لغيره نميل
 منه عليل ريم الهميل، وما رضيت غير صوبه نديره دليل
 مقدر و كاين للغير داين، نجيله بلا راده وماهوش هاين
 هوى هويته ووصفه عانيته، يبقى خيال معاي ان كان نسيته",مكتوبة كاملة,عمران عويدات,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/6FTCzhx2QfVZ2tQS7
1095,عدادين اللومة هلها,أشرف محفوظ,"عدادين اللومة هلها، شيالين مقام عناها
 يمحو ع النفس غمايمها، هم داراللومه ومرساها
 عقادين ملام الجايل، هل اللمه والميعاد
 روس عرب ماهمش ذلايل، تاصيلة جوده وجواد
 عدادين اللومه ايشيلو، للايم هلى لايمهم
 مال للعيبه مره ايميلو، اجواد اسماح فعايلهم",مكتوبة كاملة,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/qyMjhmVV2vGSxzBr7
1096,على الأيام لو تصبري معايا,أشرف محفوظ,"لو تصبري معايا على الأيام، بكرة نتلاقوا كان فيه قسام",مطلع الأغنية/رأس البيت فقط,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/N9Y2LNWBoq8CEDq5A
1097,غابوا اللى يسقوا,أشرف محفوظ,"غابوا اللى يسقوا، وبحبهم يرعوا",مطلع الأغنية/رأس البيت فقط,محمد الطيب,أشرف محفوظ,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/dYMDz2nASqNbVSXS6
1098,غوالي ما تهونوش علينا,أشرف محفوظ,"غوالي ما تهونوش علينا، غوالي مهما اديروا فينا",مطلع الأغنية/رأس البيت فقط,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/ewRJCS6roscmr7Zr6
1099,فرحان زماني,أشرف محفوظ,,الكلمات غير موجودة,إبراهيم أشرف,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/2uS5BmiBYUb87p9g6
1100,في بحور الحب عدينا,أشرف محفوظ,,الكلمات غير موجودة,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/7VVLTrwZveEf6T7b8
1101,قبلك عشنا ماتقول لامتقول,أشرف محفوظ,"قبلك عشنا ماتقول لامتقول
 قبلك عشنا احكيات صوب اولاف
 وغيرك ششنا ماتقول لامتقول",وجب التأكد من اكتمال الكلمات,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/P6SajiSrqGaNeLMq6
1102,قلعة الأحرار,أشرف محفوظ,,الكلمات غير موجودة,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/udTjRYjWXW2ActtR7
1103,قيسه نسى,أشرف محفوظ,,الكلمات غير موجودة,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/sDPhFC2T3xpWnWuR9
1104,لا تجرحيني,أشرف محفوظ,,الكلمات غير موجودة,,محمد حسن,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/zUi2wjSd1nz7KoVE6
1105,ليش يا جميلة,أشرف محفوظ,"ليش يا جميله ليش
 قلتي تبي تجينا وما جيتيش شغلتي الخاطر شغلتي الخاطر
 وطال رجانا فيك يا جميله والاشواق معاك
 من شاب الغلاء شاطن رقن نيرانه ونار الغلاء تكبر وماتطفيش",مكتوبة كاملة,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/sUTdPbcgY5P38gJ58
1106,ما تخافيش يا عيون عليا,أشرف محفوظ,,الكلمات غير موجودة,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/x4uQ8o8G5vpMDdu97
1107,ما لقيتها في اللي عليه ملامي,أشرف محفوظ,,الكلمات غير موجودة,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/4DmbSCyn63cinUZD8
1108,ما يكيدك جرحي,أشرف محفوظ,"انا عارفك ما يكيدك جرحي ولا يجيبك لوم
 انا عارفك ما حلمتي بيا و لا حلمت في يوم",وجب التأكد من اكتمال الكلمات,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/jv2XYgYENrbwffy38
1109,مسافة,أشرف محفوظ,"بين الدواء و الجرح فيه مسافة، بين البكاء و الفرح فيه مسافة
 يا صاحبي لو نجيها، نرحل مع طيف الغوالي فيها",وجب التأكد من اكتمال الكلمات,,أشرف محفوظ,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/TWmQWv9FUiLMcD8J7
1110,مشاوير,أشرف محفوظ,,الكلمات غير موجودة,علي اقبيلي,أشرف محفوظ,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/UiiK6Caf5jiHifGu5
1112,نبع الحنان,أشرف محفوظ,"وجيتك لافى على نبع الحنان نطوى المسافه طي
 ولقيتك لافى علي نبع الحنان
 مر العطش ياخي، فى وين ما لاقيتنى مديتلك بيدي، يانا للى غاليتنى كل شى فيك اغلي
 حسينا بنهر المحبة يبوح سره فينا، حسينا بورد المحبة يفوح بين ايدينا
 طيرين وعش الحب قوى كيف صخره، مانخاف عطش ونهر الحب يغرق صحراء",مكتوبة كاملة,سليمان الترهوني,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/2afutJEgmyqMZnHc8
1113,نويت السفر (النجع),أشرف محفوظ,,الكلمات غير موجودة,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/pfVXAgcu6wrteESL8
1114,هانوا بلا سيات,أشرف محفوظ,,الكلمات غير موجودة,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/roLKErrrRTPcvkbT9
1115,وصلة عود,أشرف محفوظ,,الكلمات غير موجودة,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/NCmCFZadebvU5CkXA
1116,يا ريتني نقدر,أشرف محفوظ,"يا ريتني نقدر ننساه و نصبر، وعقلي يطاوعني و عيني تتيعني
 ويا خلي الوفي نلقاه ما يوم وجعني",وجب التأكد من اكتمال الكلمات,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/zPfNnhezPdPw1sJEA
1117,يا ريفية,أشرف محفوظ,,الكلمات غير موجودة,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/5uXGJHZrHn1d6BiGA
1118,يا قلب ما لك خير من المرواح,أشرف محفوظ,"يا قلب ما لك خير من المرواح، يا قلب يكفيك من الرحيل ارتاح",مطلع الأغنية/رأس البيت فقط,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/1BYMebhVSnPcHBm67
1119,يا لوريتي,أشرف محفوظ,,الكلمات غير موجودة,جمال المحجوبي,أشرف محفوظ,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/YS4PY4VXg9UCmp9U8
1120,ياوطنا ماتحيرك الأيام,أشرف محفوظ,"ياوطنا ماتحيرك الأيام، ارض العروبه موطن الاسلام
 صبرك علينا الخير لقدام، ياموطن الاسلام ماتحيرك ليام
 لوطاح العرق فى العين، وأشتد الكرب باسه
 تلقانا جنود بنار وبارود، بين الدعكات اسود
 لاننحنى اولانميل، لا لا والله ماتنظام
 لو جا من يالاك الميح، اوعند معاك السيل
 تلقانا سدود بقوه وصمود، نداعو فى الحين ياصلاح الدين
 فى الحق مانلتام",مكتوبة كاملة,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/n8Kw2hK19Jd9srk39
1121,يروق الغناء,أشرف محفوظ,,الكلمات غير موجودة,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/az5GdDhU2J8Tjs1w7
1122,يوم المجز,أشرف محفوظ,,الكلمات غير موجودة,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/sE8SBtwynDGhQWdS8
1123,اسف,محمد السيليني,,الكلمات غير موجودة,,,طرب ليبي,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/nRsPUpsY6jdVszWS9
1125,الانسان مهما يتعلى,محمد السيليني,,الكلمات غير موجودة,,,طرب ليبي,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/zPyUL9C1GRPAuT95A
1126,الجلاء,محمد السيليني,"الجلاء – الجلاء - يا بلادي يا حرة
 الجلاء - الجلاء - على ليبيا السمرة",الكلمات غير مكتملة,,,وطنيات,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/9WAB8UcuDeD7HxTY8
1127,أم الضفائر,محمد السيليني,"وين درقدوها أم الضفاير وين - وين خليتوها يا بنات قولوا وين
 كانت معاكم ريتها ع البير - وعلاش روحتوا وسيبتوها
 أم الضفاير وين
 
 أم الضفاير بانت - وتملى في جرتها حذاكم كانت
 انا ريتها والعين ليها - مالت وخوفي عليها
 في يوم لا تنسوها - آه - وين درقتوها",مكتوبة كاملة,,,طرب ليبي,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/7XFXZUPUUWik8Db17
1128,ان أسعدتني,محمد السيليني,,الكلمات غير موجودة,,,طرب ليبي,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/48Ng9V5vzo1uVzm26
1129,بتبعد ليش,محمد السيليني,,الكلمات غير موجودة,,,طرب ليبي,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/ntnijHvd5YtmLrNa9
1130,بلادي,محمد السيليني,,الكلمات غير موجودة,,,وطنيات,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/jwVrKWGP3WzkUeu49
1131,قصيدة تسابيح,محمد السيليني,,الكلمات غير موجودة,,,ابتهالات,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/DMxoX67VnMfjxCtw7
1132,يا جدي الغزال,محمد السيليني,"يا جدى الغزال يانا رقيق عوده - وكاثر شروده - حتى كان فيك العين سودة
 مانك كيف ريدي - سمح اللون بو مضحك مجيدي
 ريدى سمح زوله - سقيمة اعضاه ما فيهاش لولة – لا هو قصير لا هو شين طوله
 هو لى في العمر كان راد سيدي - مانك كيف ريدي
 ريدي في بسامه - كيف البدر ما قشع ظلامه - عقل وعز وحلاوة فكلامه
 يخلى اليابسة تخضر فيدي - تصون مرادي - يا موالاي تصون مرادي
 من عين الحاسد والعادي يا مولاي - مرادى المية فجوج خلية - وشمس قوية والقبلي يضرب صرهادي
 مرادي الامان في يوم زهاي - وقمرها نار وعليها الصلاح ينادي",مكتوبة كاملة,,,تراث,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/QCa8Ss8J58wSWu2S9
1133,جماهيرية انا بلادي,محمد السيليني,,الكلمات غير موجودة,,,وطنيات,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/JaHhweswuDpDWEDJ7
1134,حكى بكّاني اليوم صاحبي,محمد السيليني,"اليوم صاحبي عنك حكى بكاني - عرفتك مشارك في غرامي تاني
 خدتني الحبرة بين صاحبي و بينك وبين الغيرة - ياريت باسمك ما جبدلي سيرة
 ومغدوع في حبك انا خلاني
 
 حكالي يامه كيف في غرامك زاهيات أيامه - في كل كلمة تبان ليا علامة
 معاك عشتها وانت حنون ترعاني
 
 صاحبي وانت وحبك اللي بكل العواطف صنته - مع حيرتي مع غيرتي نعيش لمتى
 نطوي الحكابة في دموع حزاني",مكتوبة كاملة,,,طرب ليبي,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/nPzu3JeGBcV9E8bs9
1135,داي منك,محمد السيليني,,الكلمات غير موجودة,,,تراث,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/J6HEvUVapK371tnj6
1136,زهى الانظار,محمد السيليني,,الكلمات غير موجودة,,,تراث,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/uVdYHwTMy8ocYodo6
1137,زول مناي,محمد السيليني,,الكلمات غير موجودة,,,تراث,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/uc56hocZE6HinE2E9
1138,سلامات يا دار الحبايب,محمد السيليني,,الكلمات غير موجودة,,,طرب ليبي,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/9mujXdLyfxuUtuBo9
1139,سكب سال,محمد السيليني,"سكب سال دمع الميامي حدايف - و عقلي مرايف
 و نا النوم ما نرقده من الزنايف",مطلع الأغنية/رأس البيت فقط,,,تراث,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/EXiC1EstSEgiw2Um6
1140,عالي الدرجات,محمد السيليني,,الكلمات غير موجودة,,,طرب ليبي,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/t4BtEmja9y3swuFG9
1141,تراث جفراوي,محمد السيليني,,الكلمات غير موجودة,,,تراث,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/MLHTibw6RVdg3CqJ9
1142,عالي جبينك,محمد السيليني,,الكلمات غير موجودة,,,شعبي,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/N6cxEtgp8yTKQdkC6
1144,علمتني ننسى,محمد السيليني,,الكلمات غير موجودة,,,طرب ليبي,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/tuiNxn283DwfGNJh8
1145,غرامي وغرامك يا جارة,محمد السيليني,,الكلمات غير موجودة,,,طرب ليبي,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/S2TvYc2fykmHnn9y6
1146,غير قولي بيه,محمد السيليني,,الكلمات غير موجودة,,,شعبي,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/vv2Rb8cS4fNARYhb7
1147,في كتاب الصوب,محمد السيليني,,الكلمات غير موجودة,,,تراث,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/BZHJUD9Yo83SHsmq8
1148,مشتاق السماحة لو تدرين,محمد السيليني,,الكلمات غير موجودة,,,طرب ليبي,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/jkHvukspwCe4eGHNA
1149,قديم الغية شن درتله جافي,محمد السيليني,,الكلمات غير موجودة,,,تراث,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/YipsfSGf32miuxRF8
1151,قولوا لها,محمد السيليني,,الكلمات غير موجودة,,,طرب ليبي,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/qL18QiV6HvXQD63m7
1152,كحيلة,محمد السيليني,,الكلمات غير موجودة,,,تراث,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/TKL6L98j7TaLvsdq6
1153,كلام العين يا أحلى كلام,محمد السيليني,,الكلمات غير موجودة,,,طرب ليبي,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/PRLQFAERfFwjMgmj6
1155,ولا تدبري ولاني قليل دباره,محمد السيليني,,الكلمات غير موجودة,,,تراث,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/So3FxTqSzPdkiY7M6
1156,لايم عليك,محمد السيليني,,الكلمات غير موجودة,,,تراث,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/DFDQY7yZdXv3ifxR7
1157,لله لله حبيتك,محمد السيليني,,الكلمات غير موجودة,,,تراث,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/eLUczLrwtJTMVciq7
1158,مادابيا ما يهون الغالي,محمد السيليني,,الكلمات غير موجودة,,,تراث,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/ebbU8Fzk1RMZ5Zvu6
1159,مازلت نراجيك عقلي هايم بيك,محمد السيليني,,الكلمات غير موجودة,,,تراث,MohammedSilini.jpg,غير معروف,جيد,https://on.soundcloud.com/1REsovPPHAykSaxj7
